[2025-05-02T22:49:36.293+0000] {statsbomb_ingestion.py:129} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/lineups/9/3890555.json introuvable, j’ignore.
[2025-05-02T22:49:36.512+0000] {statsbomb_ingestion.py:119} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/9/3890554.json introuvable, j’ignore.
[2025-05-02T22:49:36.822+0000] {statsbomb_ingestion.py:129} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/lineups/9/3890554.json introuvable, j’ignore.
[2025-05-02T22:49:37.198+0000] {statsbomb_ingestion.py:119} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/9/3890553.json introuvable, j’ignore.
[2025-05-02T22:49:37.461+0000] {statsbomb_ingestion.py:129} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/lineups/9/3890553.json introuvable, j’ignore.
[2025-05-02T22:49:37.687+0000] {statsbomb_ingestion.py:119} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/9/3890552.json introuvable, j’ignore.
[2025-05-02T22:49:37.906+0000] {statsbomb_ingestion.py:129} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/lineups/9/3890552.json introuvable, j’ignore.
[2025-05-02T22:49:38.123+0000] {statsbomb_ingestion.py:119} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/9/3890551.json introuvable, j’ignore.
[2025-05-02T22:49:38.384+0000] {statsbomb_ingestion.py:129} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/lineups/9/3890551.json introuvable, j’ignore.
[2025-05-02T22:49:38.629+0000] {statsbomb_ingestion.py:119} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/9/3890550.json introuvable, j’ignore.
[2025-05-02T22:49:38.881+0000] {statsbomb_ingestion.py:129} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/lineups/9/3890550.json introuvable, j’ignore.
[2025-05-02T22:49:39.115+0000] {statsbomb_ingestion.py:119} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/9/3890549.json introuvable, j’ignore.
[2025-05-02T22:49:39.323+0000] {statsbomb_ingestion.py:129} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/lineups/9/3890549.json introuvable, j’ignore.
