[2025-05-03T00:07:33.342+0000] {statsbomb_ingestion.py:119} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/9/3890549.json introuvable, j’ignore.
[2025-05-03T00:07:33.548+0000] {statsbomb_ingestion.py:129} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/lineups/9/3890549.json introuvable, j’ignore.
[2025-05-03T00:07:33.761+0000] {statsbomb_ingestion.py:119} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/9/3890548.json introuvable, j’ignore.
[2025-05-03T00:07:33.964+0000] {statsbomb_ingestion.py:129} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/lineups/9/3890548.json introuvable, j’ignore.
[2025-05-03T00:07:34.158+0000] {statsbomb_ingestion.py:119} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/9/3890547.json introuvable, j’ignore.
[2025-05-03T00:07:34.366+0000] {statsbomb_ingestion.py:129} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/lineups/9/3890547.json introuvable, j’ignore.
[2025-05-03T00:07:34.604+0000] {statsbomb_ingestion.py:119} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/9/3890546.json introuvable, j’ignore.
[2025-05-03T00:07:34.830+0000] {statsbomb_ingestion.py:129} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/lineups/9/3890546.json introuvable, j’ignore.
[2025-05-03T00:07:35.029+0000] {statsbomb_ingestion.py:119} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/9/3890545.json introuvable, j’ignore.
[2025-05-03T00:07:35.242+0000] {statsbomb_ingestion.py:129} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/lineups/9/3890545.json introuvable, j’ignore.
[2025-05-03T00:07:35.461+0000] {statsbomb_ingestion.py:119} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/9/3890544.json introuvable, j’ignore.
[2025-05-03T00:07:35.665+0000] {statsbomb_ingestion.py:129} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/lineups/9/3890544.json introuvable, j’ignore.
[2025-05-03T00:07:35.876+0000] {statsbomb_ingestion.py:119} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/9/3890543.json introuvable, j’ignore.
[2025-05-03T00:07:36.080+0000] {statsbomb_ingestion.py:129} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/lineups/9/3890543.json introuvable, j’ignore.
[2025-05-03T00:07:36.280+0000] {statsbomb_ingestion.py:119} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/9/3890542.json introuvable, j’ignore.
